Episode,Env,Steps,Reward
168,1,43,1.0
168,1,22,1.0
168,0,18,1.0
169,1,705,1.0
170,1,42,1.0
170,1,45,1.0
170,1,70,1.0
170,1,119,1.0
170,1,64,1.0
171,0,247,1.0
171,0,86,1.0
171,1,346,1.0
171,1,7,1.0
172,1,90,1.0
172,1,125,1.0
172,0,31,1.0
172,0,154,1.0
175,1,98,1.0
175,1,342,1.0
175,0,46,1.0
177,1,313,1.0
177,0,181,1.0
177,0,3,1.0
178,1,43,1.0
179,1,738,1.0
179,1,1,1.0
179,1,60,1.0
181,0,95,1.0
181,0,48,1.0
182,0,593,1.0
182,0,2,1.0
182,0,1,1.0
182,0,11,1.0
183,1,447,1.0
184,1,353,1.0
184,1,95,1.0
185,0,435,1.0
185,1,0,1.0
185,0,233,1.0
187,1,119,1.0
187,0,247,1.0
187,0,1,1.0
187,1,106,1.0
188,1,35,1.0
188,1,202,1.0
188,0,7,1.0
188,0,1,1.0
188,0,49,1.0
189,0,268,1.0
189,1,13,1.0
189,0,96,1.0
189,0,227,1.0
190,0,381,1.0
190,1,53,1.0
190,0,49,1.0
192,0,6,1.0
192,1,16,1.0
193,0,601,1.0
193,0,258,1.0
193,0,13,1.0
194,0,517,1.0
196,0,3,1.0
196,0,5,1.0
196,1,403,1.0
196,1,1,1.0
197,1,161,1.0
197,1,253,1.0
197,0,12,1.0
198,1,258,1.0
198,1,41,1.0
199,0,438,1.0
199,1,285,1.0
199,0,131,1.0
200,1,41,1.0
200,1,8,1.0
200,0,187,1.0
202,0,64,1.0
202,1,95,1.0
202,1,12,1.0
202,1,3,1.0
203,0,689,1.0
204,1,289,1.0
204,0,142,1.0
204,1,82,1.0
204,1,10,1.0
205,0,488,1.0
205,0,36,1.0
206,1,478,1.0
206,0,97,1.0
207,1,19,1.0
207,1,16,1.0
207,1,49,1.0
207,1,389,1.0
208,0,53,1.0
208,0,4,1.0
208,0,366,1.0
209,0,244,1.0
209,0,114,1.0
209,0,19,1.0
210,0,479,1.0
210,1,35,1.0
210,1,4,1.0
210,0,9,1.0
210,0,22,1.0
210,0,38,1.0
210,1,92,1.0
211,1,63,1.0
211,1,10,1.0
211,1,10,1.0
211,1,64,1.0
212,0,786,1.0
214,0,38,1.0
214,0,24,1.0
214,0,287,1.0
214,1,55,1.0
214,0,3,1.0
214,1,9,1.0
215,1,212,1.0
216,1,695,1.0
217,0,188,1.0
217,1,244,1.0
217,1,3,1.0
217,1,16,1.0
217,1,60,1.0
218,1,356,1.0
218,0,17,1.0
218,0,96,1.0
218,1,61,1.0
218,0,51,1.0
218,0,6,1.0
220,1,18,1.0
220,0,198,1.0
220,1,49,1.0
220,0,123,1.0
220,1,106,1.0
221,1,456,1.0
222,1,313,1.0
222,1,58,1.0
222,1,54,1.0
222,1,17,1.0
223,0,605,1.0
225,0,8,1.0
225,1,11,1.0
225,0,104,1.0
225,0,8,1.0
227,1,30,1.0
227,0,38,1.0
227,1,28,1.0
228,1,512,1.0
228,1,67,1.0
228,0,216,1.0
228,0,17,1.0
228,1,51,1.0
229,1,168,1.0
229,1,216,1.0
229,1,61,1.0
229,1,70,1.0
229,1,4,1.0
230,1,116,1.0
230,0,355,1.0
232,1,25,1.0
232,1,19,1.0
232,1,45,1.0
232,1,81,1.0
232,1,74,1.0
233,0,393,1.0
233,0,52,1.0
233,0,215,1.0
233,0,40,1.0
234,0,89,1.0
234,0,184,1.0
234,0,41,1.0
234,0,145,1.0
235,0,246,1.0
235,0,208,1.0
236,0,331,1.0
238,0,18,1.0
238,1,159,1.0
239,0,499,1.0
239,1,228,1.0
239,1,67,1.0
239,1,23,1.0
240,1,185,1.0
240,1,244,1.0
241,0,273,1.0
241,0,9,1.0
241,1,78,1.0
241,1,6,1.0
241,0,24,1.0
